year,month,day,hour,holiday,weekend,station,energy
2004,1,11,14,0,1,1,7548
2004,1,11,15,0,1,1,7434
2004,1,11,16,0,1,1,7377
2004,1,11,17,0,1,1,7404
2004,1,11,18,0,1,1,7847
2004,1,11,19,0,1,1,8489
2004,1,11,20,0,1,1,8579
2004,1,11,21,0,1,1,8593
2004,1,11,22,0,1,1,8410
2004,1,11,23,0,1,1,8051
2004,1,11,24,0,1,1,7646
2004,1,12,1,0,0,1,7341
2004,1,12,2,0,0,1,7188
2004,1,12,3,0,0,1,7121
2004,1,12,4,0,0,1,7127
2004,1,12,5,0,0,1,7393
2004,1,12,6,0,0,1,7992
2004,1,12,7,0,0,1,8888
2004,1,12,8,0,0,1,9172
2004,1,12,9,0,0,1,8981
2004,1,12,10,0,0,1,8943
2004,1,12,11,0,0,1,8920
2004,1,12,12,0,0,1,8788
2004,1,12,13,0,0,1,8645
2004,1,12,14,0,0,1,8569
2004,1,12,15,0,0,1,8476
2004,1,12,16,0,0,1,8421
2004,1,12,17,0,0,1,8511
2004,1,12,18,0,0,1,8857
2004,1,12,19,0,0,1,9193
2004,1,12,20,0,0,1,9074
2004,1,12,21,0,0,1,8999
2004,1,12,22,0,0,1,8627
2004,1,12,23,0,0,1,8034
2004,1,12,24,0,0,1,7463
2004,1,13,1,1,0,1,7068
2004,1,13,2,1,0,1,6799
2004,1,13,3,1,0,1,6668
2004,1,13,4,1,0,1,6613
2004,1,13,5,1,0,1,6759
2004,1,13,6,1,0,1,7281
2004,1,13,7,1,0,1,8155
2004,1,13,8,1,0,1,8468
2004,1,13,9,1,0,1,8368
2004,1,13,10,1,0,1,8420
2004,1,13,11,1,0,1,8495
2004,1,13,12,1,0,1,8440
2004,1,13,13,1,0,1,8409
2004,1,13,14,1,0,1,8393
2004,1,13,15,1,0,1,8410
2004,1,13,16,1,0,1,8462
2004,1,13,17,1,0,1,8555
2004,1,13,18,1,0,1,8789
2004,1,13,19,1,0,1,9172
2004,1,13,20,1,0,1,9026
2004,1,13,21,1,0,1,8861
2004,1,13,22,1,0,1,8502
2004,1,13,23,1,0,1,7927
2004,1,13,24,1,0,1,7348
2004,1,14,1,1,0,1,6830
2004,1,14,2,1,0,1,6626
2004,1,14,3,1,0,1,6526
2004,1,14,4,1,0,1,6513
2004,1,14,5,1,0,1,6660
2004,1,14,6,1,0,1,7180
2004,1,14,7,1,0,1,8128
2004,1,14,8,1,0,1,8414
2004,1,14,9,1,0,1,8296
2004,1,14,10,1,0,1,8404
2004,1,14,11,1,0,1,8485
2004,1,14,12,1,0,1,8498
2004,1,14,13,1,0,1,8471
2004,1,14,14,1,0,1,8482
2004,1,14,15,1,0,1,8471
2004,1,14,16,1,0,1,8466
2004,1,14,17,1,0,1,8492
2004,1,14,18,1,0,1,8773
2004,1,14,19,1,0,1,9061
2004,1,14,20,1,0,1,8905
2004,1,14,21,1,0,1,8787
2004,1,14,22,1,0,1,8462
2004,1,14,23,1,0,1,7894
2004,1,14,24,1,0,1,7362
2004,1,15,1,0,0,1,7075
2004,1,15,2,0,0,1,6802
2004,1,15,3,0,0,1,6683
2004,1,15,4,0,0,1,6654
2004,1,15,5,0,0,1,6782
2004,1,15,6,0,0,1,7241
2004,1,15,7,0,0,1,8116
2004,1,15,8,0,0,1,8524
2004,1,15,9,0,0,1,8443
2004,1,15,10,0,0,1,8568
2004,1,15,11,0,0,1,8708
2004,1,15,12,0,0,1,8728
2004,1,15,13,0,0,1,8687
2004,1,15,14,0,0,1,8680
2004,1,15,15,0,0,1,8604
